company,date,open,close,high,low
Tesla,2021-01-04,719.460022,729.77002,744.48999,717.190002
Tesla,2021-01-05,723.659973,735.109985,740.840027,719.200012
Tesla,2021-01-06,758.48999,755.97998,774,749.099976
Tesla,2021-01-07,777.630005,816.039978,816.98999,775.200012
Tesla,2021-01-08,856,880.02002,884.48999,838.390015
Tesla,2021-01-11,849.400024,811.190002,854.429993,803.619995
Tesla,2021-01-12,831,849.440002,868,827.340027
Tesla,2021-01-13,852.76001,854.409973,860.469971,832
Tesla,2021-01-14,843.390015,845,863,838.75
Tesla,2021-01-15,852,826.159973,859.900024,819.099976
Tesla,2021-01-19,837.799988,844.549988,850,833
Tesla,2021-01-20,858.73999,850.450012,859.5,837.280029
Tesla,2021-01-21,855,844.98999,855.719971,841.419983
Tesla,2021-01-22,834.309998,846.640015,848,828.619995
Tesla,2021-01-25,855,880.799988,900.400024,838.820007
Tesla,2021-01-26,891.380005,883.090027,895.900024,871.599976
Tesla,2021-01-27,870.349976,864.159973,891.5,858.659973
Tesla,2021-01-28,820,835.429993,848,801
Tesla,2021-01-29,830,793.530029,842.409973,780.099976
Tesla,2021-02-01,814.289978,839.809998,842,795.559998
Tesla,2021-02-02,844.679993,872.789978,880.5,842.200012
Tesla,2021-02-03,877.02002,854.690002,878.080017,853.059998
Tesla,2021-02-04,855,849.98999,856.5,833.419983
Tesla,2021-02-05,845,852.22998,864.77002,838.969971
Tesla,2021-02-08,869.669983,863.419983,877.77002,854.75
Tesla,2021-02-09,855.119995,849.460022,859.799988,841.75
Tesla,2021-02-10,843.640015,804.820007,844.820007,800.02002
Tesla,2021-02-11,812.440002,811.659973,829.880005,801.72998
Tesla,2021-02-12,801.26001,816.119995,817.330017,785.330017
Tesla,2021-02-16,818,796.219971,821,792.440002
Tesla,2021-02-17,779.090027,798.150024,799.840027,762.01001
Tesla,2021-02-18,780.900024,787.380005,794.690002,776.27002
Tesla,2021-02-19,795,781.299988,796.789978,777.369995
Tesla,2021-02-22,762.640015,714.5,768.5,710.200012
Tesla,2021-02-23,662.130005,698.840027,713.609985,619
Tesla,2021-02-24,711.849976,742.02002,745,694.169983
Tesla,2021-02-25,726.150024,682.219971,737.210022,670.580017
Tesla,2021-02-26,700,675.5,706.700012,659.51001
Tesla,2021-03-01,690.109985,718.429993,719,685.049988
Tesla,2021-03-02,718.280029,686.440002,721.109985,685
Tesla,2021-03-03,687.98999,653.200012,700.700012,651.710022
Tesla,2021-03-04,655.799988,621.440002,668.450012,600
Tesla,2021-03-05,626.059998,597.950012,627.840027,539.48999
Tesla,2021-03-08,600.549988,563,620.130005,558.789978
Tesla,2021-03-09,608.179993,673.580017,678.090027,595.210022
Tesla,2021-03-10,700.299988,668.059998,717.849976,655.059998
Tesla,2021-03-11,699.400024,699.599976,702.5,677.179993
Tesla,2021-03-12,670,693.72998,694.880005,666.140015
Tesla,2021-03-15,694.090027,707.940002,713.179993,684.039978
Tesla,2021-03-16,703.349976,676.880005,707.919983,671
Tesla,2021-03-17,656.869995,701.809998,703.72998,651.01001
Tesla,2021-03-18,684.289978,653.159973,689.22998,652
Tesla,2021-03-19,646.599976,654.869995,657.22998,624.619995
Tesla,2021-03-22,684.590027,670,699.619995,668.75
Tesla,2021-03-23,675.77002,662.159973,677.799988,657.51001
Tesla,2021-03-24,667.909973,630.27002,668.02002,630.109985
Tesla,2021-03-25,613,640.390015,645.5,609.5
Tesla,2021-03-26,641.869995,618.710022,643.820007,599.890015
Tesla,2021-03-29,615.640015,611.289978,616.47998,596.02002
Tesla,2021-03-30,601.75,635.619995,637.659973,591.01001
Tesla,2021-03-31,646.619995,667.929993,672,641.109985
Tesla,2021-04-01,688.369995,661.75,692.419983,659.419983
Tesla,2021-04-05,707.710022,691.049988,708.159973,684.700012
Tesla,2021-04-06,690.299988,691.619995,696.549988,681.369995
Tesla,2021-04-07,687,670.969971,691.380005,667.840027
Tesla,2021-04-08,677.380005,683.799988,689.549988,671.650024
Tesla,2021-04-09,677.77002,677.02002,680.969971,669.429993
Tesla,2021-04-12,685.700012,701.97998,704.799988,682.090027
Tesla,2021-04-13,712.700012,762.320007,763,710.659973
Tesla,2021-04-14,770.700012,732.22998,780.789978,728.030029
Tesla,2021-04-15,743.099976,738.849976,743.690002,721.309998
Tesla,2021-04-16,728.650024,739.780029,749.409973,724.599976
Tesla,2021-04-19,719.599976,714.630005,725.400024,691.799988
Tesla,2021-04-20,717.419983,718.98999,737.25,710.690002
Tesla,2021-04-21,704.77002,744.119995,744.840027,698
Tesla,2021-04-22,741.5,719.690002,753.77002,718.039978
Tesla,2021-04-23,719.799988,729.400024,737.359985,715.460022
Tesla,2021-04-26,741,738.200012,749.299988,732.609985
Tesla,2021-04-27,717.960022,704.73999,724,703.349976
Tesla,2021-04-28,696.409973,694.400024,708.5,693.599976
Tesla,2021-04-29,699.51001,677,702.25,668.5
Tesla,2021-04-30,667.590027,709.440002,715.469971,666.140015
Tesla,2021-05-03,703.799988,684.900024,706,680.5
Tesla,2021-05-04,678.940002,673.599976,683.450012,657.700012
Tesla,2021-05-05,681.059998,670.940002,685.299988,667.340027
Tesla,2021-05-06,680.76001,663.539978,681.02002,650
Tesla,2021-05-07,665.799988,672.369995,690,660.219971
Tesla,2021-05-10,664.900024,629.039978,665.049988,627.609985
Tesla,2021-05-11,599.23999,617.200012,627.099976,595.599976
Tesla,2021-05-12,602.48999,589.890015,620.409973,586.77002
Tesla,2021-05-13,601.539978,571.690002,606.460022,559.650024
Tesla,2021-05-14,583.409973,589.73999,592.869995,570.460022
Tesla,2021-05-17,575.549988,576.830017,589.72998,561.200012
Tesla,2021-05-18,568,577.869995,596.25,563.380005
Tesla,2021-05-19,552.549988,563.460022,566.210022,546.97998
Tesla,2021-05-20,575,586.780029,588.849976,571.070007
Tesla,2021-05-21,596.109985,580.880005,596.679993,580
Tesla,2021-05-24,581.599976,606.440002,614.47998,573.650024
Tesla,2021-05-25,607.309998,604.690002,613.98999,595.710022
Tesla,2021-05-26,607.559998,619.130005,626.169983,601.5
Tesla,2021-05-27,620.23999,630.849976,631.130005,616.210022
Tesla,2021-05-28,628.5,625.219971,635.590027,622.380005
Tesla,2021-06-01,627.799988,623.900024,633.799988,620.549988
Tesla,2021-06-02,620.130005,605.119995,623.359985,599.140015
Tesla,2021-06-03,601.799988,572.840027,604.549988,571.219971
Tesla,2021-06-04,579.710022,599.049988,600.609985,577.200012
Tesla,2021-06-07,591.830017,605.130005,610,582.880005
Tesla,2021-06-08,623.01001,603.590027,623.090027,595.5
Tesla,2021-06-09,602.169983,598.780029,611.789978,597.630005
Tesla,2021-06-10,603.880005,610.119995,616.590027,600.5
Tesla,2021-06-11,610.22998,609.890015,612.559998,601.52002
Tesla,2021-06-14,612.22998,617.690002,625.48999,609.179993
Tesla,2021-06-15,616.690002,599.359985,616.789978,598.22998
Tesla,2021-06-16,597.539978,604.869995,608.5,593.5
Tesla,2021-06-17,601.890015,616.599976,621.469971,601.340027
Tesla,2021-06-18,613.369995,623.309998,628.349976,611.799988
Tesla,2021-06-21,624.47998,620.830017,631.390015,608.880005
Tesla,2021-06-22,618.25,623.710022,628.570007,615.5
Tesla,2021-06-23,632,656.570007,657.200012,630.039978
Tesla,2021-06-24,674.98999,679.820007,697.619995,667.609985
Tesla,2021-06-25,689.580017,671.869995,693.809998,668.700012
Tesla,2021-06-28,671.640015,688.719971,694.700012,670.320007
Tesla,2021-06-29,684.650024,680.76001,687.51001,675.890015
Tesla,2021-06-30,679.77002,679.700012,692.809998,678.140015
Tesla,2021-07-01,683.919983,677.919983,687.98999,672.799988
Tesla,2021-07-02,678.97998,678.900024,700,673.26001
Tesla,2021-07-06,681.710022,659.580017,684,651.400024
Tesla,2021-07-07,664.27002,644.650024,665.700012,638.320007
Tesla,2021-07-08,628.369995,652.809998,654.429993,620.460022
Tesla,2021-07-09,653.179993,656.950012,658.909973,644.690002
Tesla,2021-07-12,662.200012,685.700012,687.23999,662.159973
Tesla,2021-07-13,686.320007,668.539978,693.280029,666.299988
Tesla,2021-07-14,670.75,653.380005,678.609985,652.840027
Tesla,2021-07-15,658.390015,650.599976,666.140015,637.880005
Tesla,2021-07-16,654.679993,644.219971,656.700012,642.200012
Tesla,2021-07-19,629.890015,646.219971,647.200012,621.289978
Tesla,2021-07-20,651.98999,660.5,662.390015,640.5
Tesla,2021-07-21,659.609985,655.289978,664.859985,650.289978
Tesla,2021-07-22,656.440002,649.26001,662.169983,644.599976
Tesla,2021-07-23,646.359985,643.380005,648.799988,637.299988
Tesla,2021-07-26,650.969971,657.619995,668.200012,647.109985
Tesla,2021-07-27,663.400024,644.780029,666.5,627.23999
Tesla,2021-07-28,647,646.97998,654.969971,639.400024
Tesla,2021-07-29,649.789978,677.349976,683.690002,648.799988
Tesla,2021-07-30,671.76001,687.200012,697.530029,669
Tesla,2021-08-02,700,709.669983,726.940002,698.400024
Tesla,2021-08-03,719,709.73999,722.650024,701.01001
Tesla,2021-08-04,711,710.919983,724.900024,708.929993
Tesla,2021-08-05,716,714.630005,720.950012,711.409973
Tesla,2021-08-06,711.900024,699.099976,716.330017,697.630005
Tesla,2021-08-09,710.169983,713.76001,719.030029,705.130005
Tesla,2021-08-10,713.98999,709.98999,716.590027,701.880005
Tesla,2021-08-11,712.710022,707.820007,715.179993,704.210022
Tesla,2021-08-12,706.340027,722.25,722.799988,699.400024
Tesla,2021-08-13,723.710022,717.169983,729.900024,714.340027
Tesla,2021-08-16,705.070007,686.169983,709.5,676.400024
Tesla,2021-08-17,672.659973,665.710022,674.580017,648.840027
Tesla,2021-08-18,669.75,688.98999,695.77002,669.349976
Tesla,2021-08-19,678.210022,673.469971,686.549988,667.590027
Tesla,2021-08-20,682.849976,680.26001,692.130005,673.700012
Tesla,2021-08-23,685.440002,706.299988,712.130005,680.75
Tesla,2021-08-24,710.679993,708.48999,715.219971,702.640015
Tesla,2021-08-25,707.030029,711.200012,716.969971,704
Tesla,2021-08-26,708.309998,701.159973,715.400024,697.619995
Tesla,2021-08-27,705,711.919983,715,702.099976
Tesla,2021-08-30,714.719971,730.909973,731,712.72998
Tesla,2021-08-31,733,735.719971,740.390015,726.440002
Tesla,2021-09-01,734.080017,734.090027,741.98999,731.27002
Tesla,2021-09-02,734.5,732.390015,740.969971,730.539978
Tesla,2021-09-03,732.25,733.570007,734,724.200012
Tesla,2021-09-07,740,752.919983,760.200012,739.26001
Tesla,2021-09-08,761.580017,753.869995,764.450012,740.77002
Tesla,2021-09-09,753.409973,754.859985,762.099976,751.630005
Tesla,2021-09-10,759.599976,736.27002,762.609985,734.52002
Tesla,2021-09-13,740.210022,743,744.780029,708.849976
Tesla,2021-09-14,742.570007,744.48999,754.469971,736.400024
Tesla,2021-09-15,745,755.830017,756.859985,738.359985
Tesla,2021-09-16,752.830017,756.98999,758.909973,747.609985
Tesla,2021-09-17,757.150024,759.48999,761.039978,750
Tesla,2021-09-20,734.559998,730.169983,742,718.619995
Tesla,2021-09-21,734.789978,739.380005,744.73999,730.440002
Tesla,2021-09-22,743.530029,751.940002,753.669983,739.119995
Tesla,2021-09-23,755,753.640015,758.200012,747.919983
Tesla,2021-09-24,745.890015,774.390015,774.799988,744.559998
Tesla,2021-09-27,773.119995,791.359985,799,769.309998
Tesla,2021-09-28,787.200012,777.559998,795.640015,766.179993
Tesla,2021-09-29,779.799988,781.309998,793.5,770.679993
Tesla,2021-09-30,781,775.47998,789.130005,775
Tesla,2021-10-01,778.400024,775.219971,780.780029,763.590027
Tesla,2021-10-04,796.5,781.530029,806.969971,776.119995
Tesla,2021-10-05,784.799988,780.590027,797.309998,774.200012
Tesla,2021-10-06,776.200012,782.75,786.659973,773.219971
Tesla,2021-10-07,785.460022,793.609985,805,783.380005
Tesla,2021-10-08,796.210022,785.48999,796.380005,780.909973
Tesla,2021-10-11,787.650024,791.940002,801.23999,785.5
Tesla,2021-10-12,800.929993,805.719971,812.320007,796.570007
Tesla,2021-10-13,810.469971,811.080017,815.409973,805.780029
Tesla,2021-10-14,815.48999,818.320007,820.25,813.349976
Tesla,2021-10-15,823.73999,843.030029,843.210022,822.349976
Tesla,2021-10-18,851.789978,870.109985,875.26001,851.469971
Tesla,2021-10-19,877.530029,864.27002,877.950012,862.51001
Tesla,2021-10-20,865.349976,865.799988,869.48999,857.380005
Tesla,2021-10-21,856,894,900,855.5
Tesla,2021-10-22,895.5,909.679993,910,890.960022
Tesla,2021-10-25,950.530029,1024.859985,1045.02002,944.200012
Tesla,2021-10-26,1024.689941,1018.429993,1094.939941,1001.440002
Tesla,2021-10-27,1039.660034,1037.859985,1070.880005,1030.780029
Tesla,2021-10-28,1068.310059,1077.040039,1081,1054.199951
Tesla,2021-10-29,1081.859985,1114,1115.209961,1073.209961
Amazon,2021-01-04,3270,3186.629883,3272,3144.02002
Amazon,2021-01-05,3166.01001,3218.51001,3223.379883,3165.060059
Amazon,2021-01-06,3146.47998,3138.379883,3197.51001,3131.159912
Amazon,2021-01-07,3157,3162.159912,3208.540039,3155
Amazon,2021-01-08,3180,3182.699951,3190.639893,3142.199951
Amazon,2021-01-11,3148.01001,3114.209961,3156.379883,3110
Amazon,2021-01-12,3120,3120.830078,3142.139893,3086
Amazon,2021-01-13,3128.439941,3165.889893,3189.949951,3122.080078
Amazon,2021-01-14,3167.52002,3127.469971,3178,3120.590088
Amazon,2021-01-15,3123.02002,3104.25,3142.550049,3095.169922
Amazon,2021-01-19,3107,3120.76001,3145,3096
Amazon,2021-01-20,3181.98999,3263.379883,3279.800049,3175
Amazon,2021-01-21,3293,3306.98999,3348.550049,3289.570068
Amazon,2021-01-22,3304.310059,3292.22998,3321.909912,3283.159912
Amazon,2021-01-25,3328.5,3294,3363.889893,3243.149902
Amazon,2021-01-26,3296.360107,3326.129883,3338,3282.870117
Amazon,2021-01-27,3341.48999,3232.580078,3346.52002,3207.080078
Amazon,2021-01-28,3235.040039,3237.620117,3301.679932,3228.689941
Amazon,2021-01-29,3230,3206.199951,3236.98999,3184.550049
Amazon,2021-02-01,3242.360107,3342.879883,3350.26001,3235.030029
Amazon,2021-02-02,3380,3380,3427.73999,3361.129883
Amazon,2021-02-03,3425.01001,3312.530029,3434,3308.620117
Amazon,2021-02-04,3330,3331,3347,3277.75
Amazon,2021-02-05,3319,3352.149902,3377,3302.709961
Amazon,2021-02-08,3358.5,3322.939941,3365,3304
Amazon,2021-02-09,3312.48999,3305,3338,3297.840088
Amazon,2021-02-10,3314,3286.580078,3317.949951,3254
Amazon,2021-02-11,3292,3262.129883,3292,3248.060059
Amazon,2021-02-12,3250,3277.709961,3280.25,3233.310059
Amazon,2021-02-16,3254.050049,3268.949951,3308.300049,3253.590088
Amazon,2021-02-17,3263.600098,3308.639893,3320.909912,3259.5
Amazon,2021-02-18,3282.419922,3328.22998,3338,3273.939941
Amazon,2021-02-19,3328.22998,3249.899902,3333.5,3245.75
Amazon,2021-02-22,3208.129883,3180.73999,3232.320068,3172.26001
Amazon,2021-02-23,3127.030029,3194.5,3204.72998,3093.600098
Amazon,2021-02-24,3166.75,3159.530029,3171.22998,3125.379883
Amazon,2021-02-25,3136.73999,3057.159912,3178.26001,3047.76001
Amazon,2021-02-26,3095.199951,3092.929932,3122.439941,3036.699951
Amazon,2021-03-01,3127.889893,3146.139893,3149.560059,3097.98999
Amazon,2021-03-02,3143.469971,3094.530029,3163.52002,3087.120117
Amazon,2021-03-03,3081.179932,3005,3107.780029,2995
Amazon,2021-03-04,3012,2977.570068,3058.129883,2945.429932
Amazon,2021-03-05,3005,3000.459961,3009,2881
Amazon,2021-03-08,3015,2951.949951,3064.590088,2951.310059
Amazon,2021-03-09,3017.98999,3062.850098,3090.959961,3005.149902
Amazon,2021-03-10,3098.449951,3057.639893,3116.459961,3030.050049
Amazon,2021-03-11,3104.01001,3113.590088,3131.780029,3082.929932
Amazon,2021-03-12,3075,3089.48999,3098.97998,3045.5
Amazon,2021-03-15,3074.570068,3081.679932,3082.23999,3032.090088
Amazon,2021-03-16,3104.969971,3091.860107,3128.909912,3075.860107
